Datetime,Water Level (m)
2023-08-04 00:00:00,-0.06011758
2023-08-04 01:00:00,0.29477796
2023-08-04 02:00:00,0.7046019
2023-08-04 03:00:00,1.0610087
2023-08-04 04:00:00,1.2866402
2023-08-04 05:00:00,1.3144169
2023-08-04 06:00:00,1.1330005
2023-08-04 07:00:00,0.79502547
2023-08-04 08:00:00,0.39614245
2023-08-04 09:00:00,0.0236791
2023-08-04 10:00:00,-0.24190179
2023-08-04 11:00:00,-0.33626974
2023-08-04 12:00:00,-0.23320198
2023-08-04 13:00:00,0.027844716
2023-08-04 14:00:00,0.3762711
2023-08-04 15:00:00,0.717796
2023-08-04 16:00:00,0.95758325
2023-08-04 17:00:00,1.0421872
2023-08-04 18:00:00,0.9511188
2023-08-04 19:00:00,0.70455444
2023-08-04 20:00:00,0.37329456
2023-08-04 21:00:00,0.046729274
2023-08-04 22:00:00,-0.20584847
2023-08-04 23:00:00,-0.30738086
2023-08-05 00:00:00,-0.22448601
2023-08-05 01:00:00,0.03832593
2023-08-05 02:00:00,0.40838477
2023-08-05 03:00:00,0.795175
2023-08-05 04:00:00,1.0994692
2023-08-05 05:00:00,1.2421674
2023-08-05 06:00:00,1.1998936
2023-08-05 07:00:00,0.9837512
2023-08-05 08:00:00,0.6625859
2023-08-05 09:00:00,0.31095386
2023-08-05 10:00:00,-0.022484343
2023-08-05 11:00:00,-0.23260263
2023-08-05 12:00:00,-0.27188462
2023-08-05 13:00:00,-0.1336886
2023-08-05 14:00:00,0.13744946
2023-08-05 15:00:00,0.48102307
2023-08-05 16:00:00,0.79301983
2023-08-05 17:00:00,0.98508036
2023-08-05 18:00:00,1.0262243
2023-08-05 19:00:00,0.91803485
2023-08-05 20:00:00,0.6684658
2023-08-05 21:00:00,0.35371283
2023-08-05 22:00:00,0.072343685
2023-08-05 23:00:00,-0.12668355
2023-08-06 00:00:00,-0.1886277
2023-08-06 01:00:00,-0.07727015
2023-08-06 02:00:00,0.17894916
2023-08-06 03:00:00,0.50398153
2023-08-06 04:00:00,0.82221794
2023-08-06 05:00:00,1.0541375
2023-08-06 06:00:00,1.1346849
2023-08-06 07:00:00,1.0483838
2023-08-06 08:00:00,0.81164217
2023-08-06 09:00:00,0.49628702
2023-08-06 10:00:00,0.1612565
2023-08-06 11:00:00,-0.103041746
2023-08-06 12:00:00,-0.24908511
2023-08-06 13:00:00,-0.23596427
2023-08-06 14:00:00,-0.07277997
2023-08-06 15:00:00,0.2101814
2023-08-06 16:00:00,0.51881886
2023-08-06 17:00:00,0.7757037
2023-08-06 18:00:00,0.92381567
2023-08-06 19:00:00,0.9498529
2023-08-06 20:00:00,0.8287158
2023-08-06 21:00:00,0.6048515
2023-08-06 22:00:00,0.34336102
2023-08-06 23:00:00,0.110178955
2023-08-07 00:00:00,-0.040155556
2023-08-07 01:00:00,-0.06452599
2023-08-07 02:00:00,0.056652583
2023-08-07 03:00:00,0.2866447
2023-08-07 04:00:00,0.5642319
2023-08-07 05:00:00,0.8097316
2023-08-07 06:00:00,0.96783507
2023-08-07 07:00:00,0.99615663
2023-08-07 08:00:00,0.88599014
2023-08-07 09:00:00,0.67167926
2023-08-07 10:00:00,0.39103702
2023-08-07 11:00:00,0.122406654
2023-08-07 12:00:00,-0.08246445
2023-08-07 13:00:00,-0.17726392
2023-08-07 14:00:00,-0.13853335
2023-08-07 15:00:00,0.033007536
2023-08-07 16:00:00,0.27912188
2023-08-07 17:00:00,0.5422828
2023-08-07 18:00:00,0.74639136
2023-08-07 19:00:00,0.86778456
2023-08-07 20:00:00,0.8669066
2023-08-07 21:00:00,0.7584484
2023-08-07 22:00:00,0.57179826
2023-08-07 23:00:00,0.3594754
2023-08-08 00:00:00,0.17686062
2023-08-08 01:00:00,0.06734853
2023-08-08 02:00:00,0.06491229
2023-08-08 03:00:00,0.1652987
2023-08-08 04:00:00,0.3477189
2023-08-08 05:00:00,0.55572194
2023-08-08 06:00:00,0.72433347
2023-08-08 07:00:00,0.8198972
2023-08-08 08:00:00,0.82323545
2023-08-08 09:00:00,0.7185395
2023-08-08 10:00:00,0.5338551
2023-08-08 11:00:00,0.3112981
2023-08-08 12:00:00,0.107942924
2023-08-08 13:00:00,-0.04248245
2023-08-08 14:00:00,-0.09992998
2023-08-08 15:00:00,-0.041209247
2023-08-08 16:00:00,0.10463396
2023-08-08 17:00:00,0.31102982
2023-08-08 18:00:00,0.51670974
2023-08-08 19:00:00,0.6860606
2023-08-08 20:00:00,0.77985203
2023-08-08 21:00:00,0.7854745
2023-08-08 22:00:00,0.70358986
2023-08-08 23:00:00,0.5600723
2023-08-09 00:00:00,0.39351156
2023-08-09 01:00:00,0.25613642
2023-08-09 02:00:00,0.17179379
2023-08-09 03:00:00,0.15467887
2023-08-09 04:00:00,0.22207971
2023-08-09 05:00:00,0.34854037
2023-08-09 06:00:00,0.490848
2023-08-09 07:00:00,0.60557556
2023-08-09 08:00:00,0.6631283
2023-08-09 09:00:00,0.6565339
2023-08-09 10:00:00,0.57194996
2023-08-09 11:00:00,0.43516093
2023-08-09 12:00:00,0.27756795
2023-08-09 13:00:00,0.12975466
2023-08-09 14:00:00,0.024830025
2023-08-09 15:00:00,-0.008089646
2023-08-09 16:00:00,0.028098205
2023-08-09 17:00:00,0.14297406
2023-08-09 18:00:00,0.30490834
2023-08-09 19:00:00,0.4777917
2023-08-09 20:00:00,0.6146511
2023-08-09 21:00:00,0.70742553
2023-08-09 22:00:00,0.7366055
2023-08-09 23:00:00,0.6919681
2023-08-10 00:00:00,0.58476835
